Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-08-20,198.5,204.11,196.76,203.15,112417
2018-08-21,205.08,207.6,203.34,206.04,156307
2018-08-22,203.54,204.89,198.31,199.47,175283
2018-08-23,200.44,202.37,197.15,202.18,116786
2018-08-24,203.15,203.15,197.92,199.67,123237
2018-08-27,200.44,207.02,200.44,205.08,239438
2018-08-28,212.82,215.14,208.95,212.04,443612
2018-08-29,210.11,212.82,209.92,212.63,187626
2018-08-30,212.24,212.24,203.54,203.54,285228
2018-08-31,201.98,202.18,196.76,199.28,314359
2018-09-03,199.67,201.98,191.45,195.22,257256
2018-09-04,196.37,197.15,186.7,188.15,316535
2018-09-05,187.66,189.61,177.9,178.67,398824
2018-09-06,176.64,182.44,175.1,176.45,369180
2018-09-07,177.99,182.93,167.36,167.84,494201
2018-09-10,165.42,175.1,162.32,173.83,396747
2018-09-11,176.93,181,174.42,176.64,284112
2018-09-12,178.77,179.93,171.51,172.38,266484
2018-09-13,172.19,176.84,171.32,174.32,189568
2018-09-14,176.45,177.42,173.26,176.06,142791
2018-09-17,176.06,178.96,174.32,175.29,145451
2018-09-18,175.67,185.16,174.42,183.32,295114
2018-09-19,185.73,189.03,183.42,183.7,259555
2018-09-20,185.73,186.12,180.9,183.51,373687
2018-09-21,184.77,193.19,183.8,187.38,1992503
2018-09-24,189.79,191.35,177.99,181.29,265799
2018-09-25,181.29,181.86,177.51,180.7,158894
2018-09-26,182.06,182.06,178.09,181,118701
2018-09-27,180.32,186.22,179.06,186.12,262791
2018-09-28,187.66,188.54,178.77,181.19,262518
2018-10-01,182.74,186.6,181.19,186.6,152325
2018-10-02,184.48,185.25,180.41,183.8,176435
2018-10-03,183.99,188.05,182.44,186.7,242729
2018-10-04,185.73,186.9,174.22,174.42,323797
2018-10-05,175.57,178.48,169.29,176.35,334285
2018-10-08,174.22,174.22,157.78,157.78,543543
2018-10-09,156.81,161.45,151.68,158.65,591301
2018-10-10,159.81,160.58,144.62,150.43,602954
2018-10-11,144.82,149.45,141.91,147.04,677617
2018-10-12,150.72,157.87,149.45,157.68,467988
2018-10-15,161.45,161.55,151.58,153.42,225390
2018-10-16,154.3,159.61,153.42,159.61,234663
2018-10-17,161.55,163.3,156.13,159.14,288322
2018-10-18,159.71,159.71,149.16,149.94,505690
2018-10-19,152.85,154.39,148.2,151.88,258529
2018-10-22,153.81,153.81,149.94,151.88,134845
2018-10-23,149.55,149.55,137.56,139.59,931740
2018-10-24,140.08,145.1,138.63,138.63,295108
2018-10-25,133.49,146.17,130.6,146.07,654308
2018-10-26,144.62,146.36,136.79,138.24,331944
2018-10-29,139.39,148.49,138.82,143.36,396341
2018-10-30,142.88,148.01,140.37,147.42,504193
2018-10-31,149.55,155.26,149.55,153.14,605045
2018-11-02,159.61,164.26,156.81,158.94,683255
2018-11-05,158.65,162.91,155.26,156.81,307952
2018-11-06,158.16,161.35,153.04,157.97,250579
2018-11-07,158.84,160.78,157.01,159.81,189799
2018-11-08,160.39,164.84,150.52,150.91,379530
2018-11-09,151.01,151.39,143.17,144.92,654738
2018-11-13,144.14,146.46,138.82,141.72,550596
2018-11-14,134.47,145.01,134.37,141.72,358786
2018-11-15,140.95,143.94,133.49,133.49,363064
2018-11-16,136.6,140.27,124.7,128.08,748882
2018-11-19,128.08,132.73,125.85,129.63,461822
2018-11-20,126.91,130.6,120.25,124.79,915261
2018-11-21,126.73,133.11,126.05,133.01,462625
2018-11-22,134.56,135.82,127.98,134.47,303055
2018-11-23,136.21,136.89,131.07,135.62,222989
2018-11-26,137.36,139.2,130.79,134.37,283887
2018-11-27,135.14,135.14,128.28,130.4,254686
2018-11-28,131.66,134.94,130.21,133.49,340238
2018-11-29,135.43,139.3,134.66,136.4,256344
2018-11-30,137.07,137.75,130.6,137.56,350181
2018-12-03,143.94,151.49,143.75,148.98,772683
2018-12-04,149.26,149.65,145.2,149.08,441596
2018-12-05,145.1,145.88,140.37,143.55,449689
2018-12-06,141.23,142.4,138.14,139.01,237199
2018-12-07,140.27,144.82,139.01,139.3,262323
2018-12-10,137.56,140.85,135.62,135.62,199908
2018-12-11,137.07,139.1,135.53,135.82,212802
2018-12-12,138.04,139.2,135.43,137.17,214655
2018-12-13,139.1,140.46,136.01,139.3,199875
2018-12-14,137.36,141.52,136.69,138.92,178816
2018-12-17,139.49,139.69,134.47,134.47,213359
2018-12-18,133.59,138.72,130.98,137.95,295816
2018-12-19,138.14,148.01,136.6,148.01,412282
2018-12-20,144.43,147.81,143.55,144.92,393705
2018-12-21,145.2,151.68,144.14,146.07,671275
2018-12-27,150.91,151.88,141.81,142.69,245949
2018-12-28,140.27,142.11,138.53,140.85,294341
2019-01-02,140.66,146.36,137.46,146.07,203661
2019-01-03,145.88,145.88,142.2,143.17,231128
2019-01-04,143.17,145.88,143.17,145.78,169481
2019-01-07,147.04,149.55,146.56,148.69,194329
2019-01-08,149.45,151.58,147.04,148.59,287699
2019-01-09,149.08,159.61,148.98,159.61,493246
2019-01-10,159.14,166.58,154.88,165.42,718516
2019-01-11,167.36,171.32,158.65,159.71,500823
2019-01-14,158.65,158.65,153.62,154.3,270866
2019-01-15,155.94,158.65,153.81,157.01,323240
2019-01-16,158.65,161.17,158.16,161.17,154895
2019-01-17,159.61,166.39,159.23,165.51,381538
2019-01-18,167.36,169.29,164.94,168.22,311977
2019-01-21,168.13,168.13,165.13,167.16,126236
2019-01-22,167.07,170.64,166.68,168.42,153460
2019-01-23,171.7,191.92,170.26,188.25,1265517
2019-01-24,188.44,194.83,179.93,183.8,805757
2019-01-25,184.77,188.05,181.67,183.6,372597
2019-01-28,181.76,185.92,179.16,181.48,249417
2019-01-29,181.48,186.31,179.64,183.89,229734
2019-01-30,185.73,191.25,184.77,188.73,316254
2019-01-31,191.54,192.5,183.8,183.8,457222
2019-02-01,183.8,185.83,181.96,183.8,225456
2019-02-04,183.8,184.77,181.29,184.48,186367
2019-02-05,185.25,186.7,182.83,185.35,154747
2019-02-06,184.77,184.77,175.19,176.54,521703
2019-02-07,175.48,177.32,171.03,172.19,370086
2019-02-08,171.61,176.35,170.84,172.48,352562
2019-02-11,174.51,178.96,173.64,177.7,271749
2019-02-12,178.96,179.73,168.42,171.32,347093
2019-02-13,173.16,175.29,167.74,171.32,296208
2019-02-14,171.32,173.93,169.87,172.38,131137
2019-02-15,171.8,177.03,170.55,176.54,217327
2019-02-18,177.99,178.87,174.61,175.1,181459
2019-02-19,175.1,177.51,169.29,171.8,201781
2019-02-20,171.7,176.64,170.06,176.64,215165
2019-02-21,176.54,176.54,172.19,174.12,231138
2019-02-22,173.36,175.29,171.51,172.48,234038
2019-02-25,172.48,176.84,172.48,176.06,137713
2019-02-26,176.06,179.73,173.93,179.64,202491
2019-02-27,178.87,184.09,176.45,183.32,335599
2019-02-28,183.8,188.64,183.03,183.89,307072
2019-03-01,185.73,186.7,183.42,186.7,135713
2019-03-04,185.73,187.38,181.57,183.22,153170
2019-03-05,182.44,183.8,181,181.48,76019
2019-03-06,182.74,183.13,180.8,181.86,166803
2019-03-07,181.86,182.83,178.96,179.35,136107
2019-03-08,179.26,180.9,176.64,177.03,156843
2019-03-11,176.06,178.28,175.67,175.96,231985
2019-03-12,178.09,179.06,170.74,174.03,281371
2019-03-13,174.12,178.09,172.29,177.99,253180
2019-03-14,178.09,178.67,176.45,177.6,168672
2019-03-15,177.13,180.9,176.84,180.02,392140
2019-03-18,180.02,183.32,177.99,182.25,197319
2019-03-19,181.29,184.09,179.54,182.15,141219
2019-03-20,184.57,184.57,179.64,180.02,168109
2019-03-21,180.12,180.8,176.64,179.26,169318
2019-03-22,181,182.54,178.87,179.83,143956
2019-03-25,178.77,181.57,177.32,178.48,198251
2019-03-26,179.45,180.22,177.13,179.73,111841
2019-03-27,180.22,193.48,177.8,189.51,747654
2019-03-28,190.57,195.79,187.96,194.63,372047
2019-03-29,195.41,197.92,189.7,193.48,394994
2019-04-01,194.44,202.47,192.99,197.35,438850
2019-04-02,198.31,206.04,198.31,205.76,338218
2019-04-03,207.98,212.72,207.5,212.72,454812
2019-04-04,212.82,213.31,197.92,200.24,685856
2019-04-05,200.24,201.12,194.05,197.35,376591
2019-04-08,198.5,201.6,195.89,197.54,357799
2019-04-09,198.99,199.18,196.18,196.67,226424
2019-04-10,196.67,201.12,196.67,201.12,316046
2019-04-11,202.37,207.02,201.88,206.34,323626
2019-04-12,207.79,207.79,201.7,201.7,231968
2019-04-15,202.18,206.34,202.18,205.57,152728
2019-04-16,206.04,207.31,200.14,200.92,156235
2019-04-17,200.73,200.73,193.76,194.44,431201
2019-04-18,194.44,196.37,189.7,195.41,242222
2019-04-23,196.37,200.73,196.37,200.24,207075
2019-04-24,202.66,205.47,199.77,204.3,239584
2019-04-25,204.69,205.57,200.34,203.05,190514
