Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-06-30,107.65,108.56,106.62,108.56,443025
2016-07-01,109.32,109.32,105.95,106.62,505093
2016-07-04,105.36,105.99,102.7,102.7,534747
2016-07-05,102.81,103.88,101.15,101.55,696449
2016-07-06,102.5,102.81,98.657,100.83,881021
2016-07-07,101.51,104.09,101.07,101.63,1161331
2016-07-08,101.39,103.13,101.39,101.59,424206
2016-07-11,103.61,105.07,102.35,104.64,722003
2016-07-12,104.57,107.41,104.21,106.62,1680145
2016-07-13,102.19,102.7,99.249,99.8,11660491
2016-07-14,100.12,100.76,99.57,100.2,2303127
2016-07-15,100.6,101.19,99.96,100.83,4193338
2016-07-18,101,101.83,100.12,100.6,1456221
2016-07-19,100.83,101.28,99.73,100.55,1354012
2016-07-20,100.55,101.55,100.29,101.51,2154893
2016-07-21,101.31,102.74,101.24,102.06,987687
2016-07-22,102.06,102.58,100.96,101.39,758268
2016-07-25,101.39,101.87,101.12,101.36,724877
2016-07-26,101.15,101.95,101,101,463126
2016-07-27,100.53,100.53,94.9,97.91,4905724
2016-07-28,98.143,98.89,98.143,98.861,1355807
2016-07-29,99.69,99.73,96.755,97.706,1086095
2016-08-01,96.988,98.453,96.159,97.706,451052
2016-08-02,99.414,99.65,96.842,98.822,969374
2016-08-03,99.366,99.414,95.173,97.434,939712
2016-08-04,97.356,99.016,96.958,99.016,623671
2016-08-05,99.61,99.61,97.473,98.978,466514
2016-08-08,99.8,102.26,99.8,101.24,889821
2016-08-09,102.03,104.96,100.91,104.96,618116
2016-08-10,104.96,105.67,103.81,104.16,1016079
2016-08-11,104.36,104.8,103.85,104.24,861407
2016-08-12,104.92,104.92,103.93,103.93,564980
2016-08-16,104.04,104.96,103.4,104.6,633545
2016-08-17,104.8,105.55,103.13,104.33,1104537
2016-08-18,104.24,104.75,101.74,102.81,433806
2016-08-19,102.66,102.98,100.08,100.53,517423
2016-08-22,100.53,102.19,99.53,101.07,658991
2016-08-23,99.65,99.65,97.114,98.861,1181629
2016-08-24,99.016,100.91,98.298,99.133,755273
2016-08-25,99.65,100.2,98.939,99.96,456402
2016-08-26,100.08,100.08,99.094,99.094,1133645
2016-08-29,98.22,99.414,97.473,99.414,426995
2016-08-30,99.211,102.74,98.618,102.74,1030266
2016-08-31,102.58,104.09,101.9,103.98,1167624
2016-09-01,103.57,104.47,99.249,99.65,1076941
2016-09-02,99.96,101.28,99.89,100.37,478650
2016-09-05,100.91,102.1,100.32,101.39,194247
2016-09-06,101.83,102.5,100.72,101,561959
2016-09-07,101.43,101.78,99.094,100.6,733711
2016-09-08,100.6,101.43,99.89,101.43,473418
2016-09-09,101.31,101.31,98.89,99.016,655337
2016-09-12,99.016,100.53,97.91,100.17,669174
2016-09-13,100.43,100.43,98.657,99.211,624362
2016-09-14,99.414,99.65,98.618,99.055,357871
2016-09-15,99.016,100.37,98.861,99.96,198235
2016-09-16,99.482,101.31,99.482,100.48,1039419
2016-09-19,100.91,101.39,99.57,100.6,375384
2016-09-20,100.53,101.07,99.53,101.07,304773
2016-09-21,100.55,102.1,100.37,101.31,724902
2016-09-22,101.59,102.5,101.15,102.46,588395
2016-09-23,102.42,102.42,100.6,101.74,482172
2016-09-26,101.15,101.55,99.65,100.17,373339
2016-09-27,100.24,100.29,98.822,99.53,329147
2016-09-28,99.8,100.79,99.69,100.06,1226999
2016-09-29,100.37,100.88,100.12,100.6,719294
2016-09-30,100.08,100.53,97.949,97.978,840763
2016-10-03,98.58,101.36,98.58,100.76,525866
2016-10-04,101.28,101.72,100.12,101.72,583424
2016-10-05,101.39,101.39,99.69,101.36,392877
2016-10-06,101.51,102.81,100.24,102.74,972780
2016-10-07,102.58,102.58,101.19,101.78,436380
2016-10-10,102.1,103.38,101.39,101.95,360287
2016-10-11,102.06,102.74,101.07,101.24,438204
