Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-03-04,221.91,230.85,219.67,228.42,547213
2021-03-05,226.96,231.14,222.39,225.5,471655
2021-03-08,228.32,230.85,225.5,225.5,419292
2021-03-09,225.02,227.16,216.76,216.76,1050229
2021-03-10,216.76,220.35,204.31,204.31,1300397
2021-03-11,204.61,217.34,200.82,214.81,1234333
2021-03-12,216.76,228.52,214.13,220.16,871173
2021-03-15,224.53,228.03,219.19,223.46,538965
2021-03-16,226.48,229.49,220.16,223.07,430694
2021-03-17,223.56,225.5,216.85,224.53,551053
2021-03-18,224.53,225.21,214.52,214.52,652643
2021-03-19,214.52,220.64,211.8,216.95,988742
2021-03-22,214.81,214.81,210.73,210.92,551878
2021-03-23,211.9,214.81,205.48,214.52,606212
2021-03-24,213.26,216.17,209.08,211.02,494593
2021-03-25,213.74,215.69,202.27,202.27,761791
2021-03-26,204.12,210.83,203.63,206.06,449703
2021-03-29,211.9,236.68,209.95,232.99,2145094
2021-03-30,243,244.56,210.73,211.8,1700597
2021-03-31,194.21,198,176.42,185.17,3630556
2021-04-01,185.46,192.24,179.88,189.13,1086043
2021-04-06,193.41,195.37,188.59,191.56,756141
2021-04-07,192.67,193.27,185.65,186.39,537442
2021-04-08,186.41,186.41,177,177.88,1210163
2021-04-09,178.38,186.62,176.52,179.22,1091980
2021-04-12,180.5,182.83,178.25,181.28,402557
2021-04-13,181.96,185.17,180.77,181.28,372278
2021-04-14,183.22,184.97,179.04,180.56,563217
2021-04-15,180.79,183.51,179.84,182.17,334395
2021-04-16,184.68,187.11,170.1,171.81,1752522
2021-04-19,173.93,179.92,172.14,172.53,704845
2021-04-20,173.5,176.13,167.4,168.16,587783
2021-04-21,168.16,174.92,162.62,167.77,756434
2021-04-22,170.78,171.75,167.48,168.64,310965
2021-04-23,172.02,173.99,162.81,166.35,729035
2021-04-26,168.62,169.03,160.48,164.25,709625
2021-04-27,161.35,168.49,161.35,163.59,632202
2021-04-28,165.24,169.81,163.88,167.67,685466
2021-04-29,170.1,172.04,165.82,170.33,539628
2021-04-30,170.84,174.71,169.13,169.24,493973
2021-05-04,170.31,170.88,163,164.19,608849
2021-05-05,163.3,163.7,151.92,156.98,794426
2021-05-06,156.01,156.76,150.29,152.14,796049
2021-05-07,152.6,156.94,151.77,156.94,462867
2021-05-10,158.44,160.77,152.22,152.27,481908
2021-05-11,152.57,152.68,146.85,149.94,793509
2021-05-12,150.91,166,147.53,156.49,991403
2021-05-13,157.66,159.52,151.38,153.5,621598
2021-05-14,155.01,162.09,150.76,160.26,632583
2021-05-17,162.32,173.02,160.87,166.91,954125
2021-05-18,169.61,171.71,162.56,165.24,962808
2021-05-19,164.27,165.53,161.35,164.33,595554
2021-05-20,164.48,171.38,164.46,170.59,701280
2021-05-21,170.59,171.42,166.66,168.16,678435
2021-05-24,167.18,167.18,163.39,163.51,476348
2021-05-25,164.48,168.8,157.56,160.28,660427
2021-05-26,160.38,163.47,157.08,157.08,403678
2021-05-27,160.96,170.59,160.87,170.59,1144385
2021-05-28,172.72,177.84,169.13,173.58,616001
2021-05-31,175,175,168.28,168.74,525989
2021-06-01,156.12,158,152.6,153.38,1833059
2021-06-02,154,161.78,152.8,161.58,1247488
2021-06-04,164.82,171.2,161.82,171.2,516368
2021-06-07,170.66,173.68,167.12,169.76,454673
2021-06-08,169.28,172.2,168,171,418030
2021-06-09,173,178.8,170.8,176.5,879838
2021-06-10,177.1,178.26,172.58,174,284215
2021-06-11,174,186.5,172.82,185.8,674704
2021-06-14,186.2,187.9,182.66,186.78,406463
2021-06-15,191.5,204.7,190.9,198.98,1572918
2021-06-16,207,211.65,186,186.14,1529527
2021-06-17,185,186.4,178.22,181,843200
2021-06-18,182,183.86,179,183.86,889324
2021-06-21,183.86,184.62,179.42,183.38,256814
2021-06-22,182.98,185.96,177.12,177.78,356451
2021-06-23,177.1,178.72,173.04,178,575110
2021-06-24,178,182.4,176.54,180.04,394299
2021-06-25,180,184.1,179,179.72,511215
2021-06-28,179.62,187.6,178.06,185.5,504103
2021-06-29,185,193.24,185,188.36,667808
2021-06-30,187.38,190,182.6,185.02,506269
2021-07-01,185.1,190.96,185.1,188.76,365127
2021-07-02,189.68,192.8,188.8,190.2,264189
2021-07-05,192.62,192.9,189.34,191.9,146929
2021-07-06,191.9,192.5,187.32,187.32,437746
2021-07-07,189.68,193.5,186.86,193.4,407522
2021-07-08,192,193.9,186.82,187.48,319783
2021-07-09,189.14,189.88,187.1,188,220831
2021-07-12,190.2,202,190.1,201.85,1032701
2021-07-13,202.5,206.15,201.3,203.45,417145
2021-07-14,203,203.2,195.5,195.94,329109
2021-07-15,195.98,197.66,193.12,194.92,400152
2021-07-16,194.94,197.96,193.5,194.14,279128
2021-07-19,193.6,194,184.64,186.3,508610
2021-07-20,186.86,188.8,185.14,187.6,399604
2021-07-21,188,194.24,180.4,184.48,415891
2021-07-22,187.3,191,185.24,186.04,254135
2021-07-23,187.5,189.08,185.86,186.28,219461
2021-07-26,188.9,188.9,182.34,184,338742
2021-07-27,184.42,184.78,181.22,183.22,317100
2021-07-28,183.22,184.06,176.8,183.78,669129
2021-07-29,186,189.3,182.86,184,540016
2021-07-30,182.66,184.8,178.64,184.74,307103
2021-08-02,183.48,183.48,174.6,175,828778
2021-08-03,177,177.38,174.1,175.52,411366
2021-08-04,175.52,178,172.66,175.1,244126
2021-08-05,175.88,179.78,174.74,178.24,290573
2021-08-06,178.3,178.34,173.5,174.12,181795
2021-08-09,175,175.24,170.66,172,230117
2021-08-10,172.6,172.8,166.16,166.16,527025
2021-08-11,166.2,168.56,164.08,167.36,226485
2021-08-12,167,168.08,164.74,166.86,175533
2021-08-13,167.6,172.88,166.48,168.9,197493
2021-08-16,168.9,170.5,165,165,279203
2021-08-17,165.5,171.54,164.5,171.02,396754
2021-08-18,170.14,170.4,166.5,166.6,214894
2021-08-19,167.08,168.68,164.58,168.3,192913
2021-08-20,168.28,168.3,164.38,165.74,412701
2021-08-23,166.16,167.78,164.2,165.22,191400
2021-08-24,166.22,166.88,165.02,165.78,178932
