Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-03-04,64.067,64.163,63.109,64.163,64920
2021-03-05,63.684,63.684,62.535,62.918,138299
2021-03-08,63.205,63.971,62.63,63.109,69205
2021-03-09,63.205,64.737,62.822,64.258,69753
2021-03-10,64.546,65.216,64.354,64.929,58093
2021-03-11,66.078,67.036,63.684,64.163,159829
2021-03-12,64.45,65.408,64.354,64.737,90285
2021-03-15,65.408,65.791,64.833,65.12,79806
2021-03-16,65.216,66.269,65.12,65.886,76649
2021-03-17,66.174,66.461,65.216,65.791,142359
2021-03-18,65.791,65.982,65.12,65.312,59011
2021-03-19,65.599,65.791,65.12,65.216,192641
2021-03-22,65.12,65.599,64.929,64.929,186515
2021-03-23,65.599,66.461,65.024,65.886,57760
2021-03-24,65.982,66.269,64.929,64.929,87963
2021-03-25,65.503,65.503,64.354,64.929,130244
2021-03-26,65.12,65.12,64.067,64.737,147804
2021-03-29,64.929,64.929,64.163,64.163,119841
2021-03-30,64.258,64.45,63.78,64.163,157806
2021-03-31,64.45,65.408,64.163,64.737,110798
2021-04-01,65.024,65.024,64.498,64.737,106037
2021-04-06,65.168,67.323,65.12,66.94,188429
2021-04-07,67.036,68.903,66.509,68.52,151798
2021-04-08,68.855,68.855,67.562,67.706,104519
2021-04-09,67.754,68.855,67.562,68.711,85897
2021-04-12,68.759,68.807,67.083,67.706,95919
2021-04-13,67.897,68.903,67.227,68.28,92049
2021-04-14,68.759,69.142,67.275,67.323,114860
2021-04-15,67.371,68.089,66.269,66.365,162137
2021-04-16,66.509,66.892,65.886,66.222,131537
2021-04-19,66.557,67.227,66.317,66.605,145418
2021-04-20,66.557,66.892,66.126,66.174,139601
2021-04-21,66.222,66.509,65.982,66.174,112421
2021-04-22,66.174,67.897,66.174,66.94,86038
2021-04-23,66.557,67.131,66.365,67.131,115548
2021-04-26,67.658,67.802,66.174,66.461,105341
2021-04-27,66.844,67.802,66.509,66.988,87440
2021-04-28,67.371,68.089,66.748,67.754,97223
2021-04-29,67.993,68.472,67.131,67.131,135643
2021-04-30,67.61,68.185,67.323,67.466,119745
2021-05-04,67.466,67.514,66.078,66.365,152896
2021-05-05,67.036,67.802,66.365,66.652,136412
2021-05-06,66.652,67.323,66.652,66.844,155436
2021-05-07,67.323,67.802,66.844,67.706,105177
2021-05-10,67.993,68.376,67.131,67.85,146634
2021-05-11,67.85,67.945,67.323,67.514,149044
2021-05-12,67.514,67.945,67.131,67.179,91664
2021-05-13,67.131,67.131,66.126,66.605,152376
2021-05-14,66.844,67.562,66.126,67.562,97806
2021-05-17,67.036,67.754,66.892,67.61,57252
2021-05-18,67.754,67.85,67.371,67.466,72054
2021-05-19,67.706,67.802,67.036,67.658,46619
2021-05-20,67.85,68.376,67.514,68.376,99255
2021-05-21,68.376,68.807,67.993,67.993,59984
2021-05-24,68.664,69.861,68.041,69.861,99929
2021-05-25,70.004,70.77,69.525,70.675,173275
2021-05-26,70.675,70.962,69.908,70.866,66608
2021-05-27,70.866,71.345,69.956,70.77,265991
2021-05-28,70.77,70.77,69.861,70.004,151783
2021-05-31,70.052,70.866,70.052,70.196,108677
2021-06-01,70.579,70.866,70.1,70.1,113867
2021-06-02,70.9,71.5,70.1,71,132980
2021-06-04,71.2,71.3,69.45,70.05,147857
2021-06-07,70.05,71.1,69.9,70.15,220481
2021-06-08,70.1,71.3,69.8,70.9,84408
2021-06-09,71,71,69.6,69.6,86795
2021-06-10,69.65,71,69.65,70.95,59770
2021-06-11,70.7,70.7,69.95,69.95,33492
2021-06-14,70.55,70.55,70,70.45,64264
