type,time,latitude,longitude,altitude (m),name,desc
T,2022-05-15 08:27:56,54.496151637,18.435238972,159.0,Gdynia Kolarstwo,
T,2022-05-15 08:27:57,54.496148452,18.435163451,159.2,,
T,2022-05-15 08:27:58,54.496142166,18.435094133,159.4,,
T,2022-05-15 08:27:59,54.496144010,18.435028000,159.8,,
T,2022-05-15 08:28:00,54.496162198,18.434953652,159.8,,
T,2022-05-15 08:28:01,54.496182986,18.434894728,159.8,,
T,2022-05-15 08:28:02,54.496202599,18.434854411,159.6,,
T,2022-05-15 08:28:04,54.496267978,18.434800096,159.4,,
T,2022-05-15 08:28:05,54.496310726,18.434770592,159.2,,
T,2022-05-15 08:28:06,54.496336961,18.434744691,159.2,,
T,2022-05-15 08:28:08,54.496376859,18.434643187,159.0,,
T,2022-05-15 08:28:12,54.496476017,18.434332302,158.6,,
T,2022-05-15 08:28:13,54.496491943,18.434251416,158.6,,
T,2022-05-15 08:28:17,54.496572744,18.433949836,158.4,,
T,2022-05-15 08:28:19,54.496595124,18.433798878,158.2,,
T,2022-05-15 08:28:20,54.496603087,18.433749843,158.2,,
T,2022-05-15 08:28:21,54.496614235,18.433711119,158.2,,
T,2022-05-15 08:28:23,54.496665029,18.433621181,158.0,,
T,2022-05-15 08:28:26,54.496736107,18.433435019,158.0,,
T,2022-05-15 08:28:27,54.496757900,18.433444323,158.0,,
T,2022-05-15 08:28:28,54.496780531,18.433439629,158.0,,
T,2022-05-15 08:28:30,54.496797714,18.433383470,158.2,,
T,2022-05-15 08:28:36,54.496842977,18.433187418,159.0,,
T,2022-05-15 08:28:41,54.496912379,18.432917101,159.0,,
T,2022-05-15 08:28:44,54.496941967,18.432709062,159.2,,
T,2022-05-15 08:28:46,54.496984547,18.432540921,159.8,,
T,2022-05-15 08:28:52,54.497121926,18.432013951,160.0,,
T,2022-05-15 08:28:56,54.497210523,18.431680771,160.0,,
T,2022-05-15 08:28:59,54.497250253,18.431420596,161.0,,
T,2022-05-15 08:29:00,54.497265341,18.431344740,161.0,,
T,2022-05-15 08:29:04,54.497318147,18.431096468,161.0,,
T,2022-05-15 08:29:05,54.497331390,18.431053553,161.0,,
T,2022-05-15 08:29:07,54.497383106,18.431023546,161.0,,
T,2022-05-15 08:29:09,54.497462735,18.431046344,161.0,,
T,2022-05-15 08:29:11,54.497564156,18.431099569,161.0,,
T,2022-05-15 08:29:14,54.497751407,18.431214401,161.4,,
T,2022-05-15 08:29:15,54.497811506,18.431271398,161.6,,
T,2022-05-15 08:29:19,54.498038907,18.431522772,162.6,,
T,2022-05-15 08:29:20,54.498085761,18.431600723,162.8,,
T,2022-05-15 08:29:23,54.498215597,18.431848912,162.4,,
T,2022-05-15 08:29:26,54.498341074,18.432059884,162.0,,
T,2022-05-15 08:29:29,54.498464372,18.432236407,161.6,,
T,2022-05-15 08:29:31,54.498545760,18.432333134,161.2,,
T,2022-05-15 08:29:36,54.498739969,18.432611497,161.0,,
T,2022-05-15 08:29:37,54.498781208,18.432658101,161.0,,
T,2022-05-15 08:29:44,54.499087902,18.432943504,161.6,,
T,2022-05-15 08:29:45,54.499119502,18.432981642,161.8,,
T,2022-05-15 08:29:47,54.499174571,18.433009721,161.8,,
T,2022-05-15 08:29:48,54.499196196,18.432986168,161.8,,
T,2022-05-15 08:29:52,54.499277920,18.432772178,161.0,,
T,2022-05-15 08:29:56,54.499432733,18.432706380,160.8,,
T,2022-05-15 08:29:59,54.499538932,18.432727670,160.6,,
T,2022-05-15 08:30:02,54.499624092,18.432563888,160.4,,
T,2022-05-15 08:30:07,54.499807907,18.432197599,160.6,,
T,2022-05-15 08:30:14,54.500188529,18.431688817,158.6,,
T,2022-05-15 08:30:21,54.500613073,18.431123123,157.8,,
T,2022-05-15 08:30:29,54.501075586,18.430485176,159.0,,
T,2022-05-15 08:30:30,54.501127806,18.430403788,159.0,,
T,2022-05-15 08:30:36,54.501420921,18.429892492,159.0,,
T,2022-05-15 08:30:42,54.501669360,18.429334089,159.0,,
T,2022-05-15 08:30:44,54.501726944,18.429168547,158.8,,
T,2022-05-15 08:30:46,54.501732979,18.428988839,158.8,,
T,2022-05-15 08:30:48,54.501702888,18.428829247,158.8,,
T,2022-05-15 08:30:49,54.501666510,18.428765796,159.0,,
T,2022-05-15 08:30:53,54.501505913,18.428543005,159.6,,
T,2022-05-15 08:30:55,54.501444809,18.428423814,159.8,,
T,2022-05-15 08:30:58,54.501427710,18.428223068,159.8,,
T,2022-05-15 08:30:59,54.501445396,18.428156348,159.8,,
T,2022-05-15 08:31:02,54.501534076,18.427949566,160.0,,
T,2022-05-15 08:31:08,54.501728788,18.427487137,160.0,,
T,2022-05-15 08:31:13,54.501913860,18.427058822,160.2,,
