type,time,latitude,longitude,altitude (m),name,desc
T,2022-04-22 10:08:58,54.371331101,18.613549462,12.2,Gdańsk Kolarstwo,
T,2022-04-22 10:08:59,54.371320624,18.613550048,12.2,,
T,2022-04-22 10:09:03,54.371350547,18.613431947,12.0,,
T,2022-04-22 10:09:05,54.371414836,18.613426080,12.2,,
T,2022-04-22 10:09:10,54.371628407,18.613571087,13.0,,
T,2022-04-22 10:09:15,54.371901825,18.613736546,15.0,,
T,2022-04-22 10:09:22,54.372233078,18.613921534,18.2,,
T,2022-04-22 10:09:26,54.372394765,18.614007114,18.2,,
T,2022-04-22 10:09:28,54.372453438,18.614102919,17.6,,
T,2022-04-22 10:09:30,54.372482272,18.614241472,16.8,,
T,2022-04-22 10:09:31,54.372475985,18.614303749,16.2,,
T,2022-04-22 10:09:34,54.372433657,18.614510112,14.8,,
T,2022-04-22 10:09:37,54.372398956,18.614724772,13.4,,
T,2022-04-22 10:09:42,54.372328296,18.615105562,12.4,,
T,2022-04-22 10:09:45,54.372296864,18.615325168,12.0,,
T,2022-04-22 10:09:46,54.372291248,18.615392139,12.0,,
T,2022-04-22 10:09:49,54.372330224,18.615559023,11.6,,
T,2022-04-22 10:09:51,54.372402644,18.615617109,11.8,,
T,2022-04-22 10:09:54,54.372532982,18.615687015,12.4,,
T,2022-04-22 10:09:58,54.372730879,18.615775695,12.6,,
T,2022-04-22 10:09:59,54.372777566,18.615796398,12.6,,
T,2022-04-22 10:10:05,54.373001866,18.615916343,12.0,,
T,2022-04-22 10:10:07,54.373082165,18.615991110,12.0,,
T,2022-04-22 10:10:08,54.373117285,18.616027236,12.0,,
T,2022-04-22 10:10:10,54.373164559,18.616124382,12.0,,
T,2022-04-22 10:10:12,54.373156177,18.616262097,12.0,,
T,2022-04-22 10:10:14,54.373125331,18.616407271,12.6,,
T,2022-04-22 10:10:18,54.373046290,18.616738692,12.8,,
T,2022-04-22 10:10:20,54.373008655,18.616910437,12.2,,
T,2022-04-22 10:10:24,54.372927854,18.617263567,11.0,,
T,2022-04-22 10:10:27,54.372858368,18.617530782,11.0,,
T,2022-04-22 10:10:32,54.372734316,18.617960270,11.6,,
T,2022-04-22 10:10:33,54.372706991,18.618031433,12.0,,
T,2022-04-22 10:10:34,54.372683186,18.618110558,12.4,,
T,2022-04-22 10:10:38,54.372599451,18.618461005,13.4,,
T,2022-04-22 10:10:41,54.372522086,18.618711540,13.8,,
T,2022-04-22 10:10:44,54.372454360,18.618951850,14.0,,
T,2022-04-22 10:10:48,54.372381605,18.619264746,14.2,,
T,2022-04-22 10:10:50,54.372339863,18.619399108,14.4,,
T,2022-04-22 10:10:55,54.372244310,18.619692558,15.0,,
T,2022-04-22 10:10:58,54.372236095,18.619840415,15.2,,
T,2022-04-22 10:10:59,54.372260738,18.619880984,15.2,,
T,2022-04-22 10:11:03,54.372429969,18.620062955,15.8,,
T,2022-04-22 10:11:08,54.372724174,18.620317429,15.0,,
T,2022-04-22 10:11:09,54.372783015,18.620382138,15.0,,
T,2022-04-22 10:11:12,54.372964315,18.620577520,14.4,,
T,2022-04-22 10:11:13,54.373034220,18.620635942,14.0,,
T,2022-04-22 10:11:18,54.373328844,18.620945318,13.8,,
T,2022-04-22 10:11:19,54.373378716,18.620986724,13.6,,
T,2022-04-22 10:11:23,54.373548031,18.621144388,13.0,,
T,2022-04-22 10:11:24,54.373574015,18.621194763,13.0,,
T,2022-04-22 10:11:26,54.373591533,18.621284701,12.8,,
T,2022-04-22 10:11:27,54.373586252,18.621326024,13.0,,
T,2022-04-22 10:11:28,54.373575104,18.621371873,13.0,,
T,2022-04-22 10:11:33,54.373473432,18.621634562,13.0,,
T,2022-04-22 10:11:37,54.373334125,18.621865818,13.0,,
T,2022-04-22 10:11:39,54.373257263,18.621987104,13.2,,
T,2022-04-22 10:11:42,54.373139245,18.622163124,14.0,,
T,2022-04-22 10:11:44,54.373078980,18.622284913,13.6,,
T,2022-04-22 10:11:45,54.373045955,18.622343251,13.6,,
T,2022-04-22 10:11:46,54.373010667,18.622398237,13.6,,
T,2022-04-22 10:11:49,54.372897930,18.622584566,13.6,,
T,2022-04-22 10:11:54,54.372719312,18.622901235,14.2,,
T,2022-04-22 10:11:57,54.372629793,18.623078261,14.4,,
T,2022-04-22 10:11:58,54.372601463,18.623143975,14.4,,
T,2022-04-22 10:12:01,54.372484367,18.623308511,13.4,,
T,2022-04-22 10:12:02,54.372443883,18.623350505,13.2,,
T,2022-04-22 10:12:04,54.372365512,18.623468019,12.2,,
T,2022-04-22 10:12:06,54.372314550,18.623588132,11.4,,
T,2022-04-22 10:12:08,54.372268114,18.623704221,10.8,,
T,2022-04-22 10:12:14,54.372074408,18.624011166,10.0,,
T,2022-04-22 10:12:15,54.372072648,18.624042431,10.0,,
T,2022-04-22 10:12:17,54.372078767,18.624070678,9.8,,
T,2022-04-22 10:12:20,54.372078767,18.624070678,9.8,,
T,2022-04-22 10:12:48,54.372111373,18.624112336,9.6,,
T,2022-04-22 10:12:50,54.372132830,18.624156592,9.4,,
T,2022-04-22 10:12:54,54.372198209,18.624272933,9.2,,
T,2022-04-22 10:12:55,54.372224780,18.624316519,9.4,,
T,2022-04-22 10:13:02,54.372405242,18.624645593,10.6,,
T,2022-04-22 10:13:04,54.372473471,18.624758581,11.0,,
T,2022-04-22 10:13:06,54.372533318,18.624801580,10.8,,
T,2022-04-22 10:13:09,54.372603055,18.624699907,10.2,,
T,2022-04-22 10:13:10,54.372626357,18.624682724,10.2,,
T,2022-04-22 10:13:12,54.372681426,18.624706445,10.0,,
T,2022-04-22 10:13:14,54.372763485,18.624786157,10.0,,
T,2022-04-22 10:13:16,54.372855686,18.624914484,9.6,,
T,2022-04-22 10:13:20,54.373021983,18.625220843,9.6,,
T,2022-04-22 10:13:22,54.373128265,18.625313295,10.0,,
T,2022-04-22 10:13:24,54.373207642,18.625400718,10.0,,
T,2022-04-22 10:13:26,54.373276206,18.625416728,10.0,,
T,2022-04-22 10:13:28,54.373360444,18.625357803,10.0,,
T,2022-04-22 10:13:29,54.373414088,18.625332322,10.4,,
T,2022-04-22 10:13:35,54.373758836,18.625149764,10.6,,
T,2022-04-22 10:13:40,54.374056309,18.624857068,10.2,,
T,2022-04-22 10:13:47,54.374490324,18.624382485,8.8,,
T,2022-04-22 10:13:48,54.374548327,18.624324985,8.6,,
T,2022-04-22 10:13:49,54.374604234,18.624258013,8.2,,
T,2022-04-22 10:13:52,54.374776818,18.624064811,8.0,,
T,2022-04-22 10:13:58,54.375136318,18.623779323,9.2,,
T,2022-04-22 10:14:01,54.375312841,18.623731881,9.6,,
T,2022-04-22 10:14:02,54.375357013,18.623717129,9.8,,
T,2022-04-22 10:14:03,54.375402108,18.623706736,9.8,,
T,2022-04-22 10:14:05,54.375485256,18.623715369,9.8,,
T,2022-04-22 10:14:06,54.375522388,18.623773037,9.6,,
T,2022-04-22 10:14:07,54.375546528,18.623880912,9.0,,
T,2022-04-22 10:14:10,54.375595143,18.623971604,8.8,,
T,2022-04-22 10:14:14,54.375602016,18.623974705,8.8,,
T,2022-04-22 10:16:28,54.375778120,18.623954672,8.0,,
T,2022-04-22 10:16:29,54.375826316,18.623956349,8.0,,
T,2022-04-22 10:16:35,54.376103505,18.623965820,6.2,,
T,2022-04-22 10:16:37,54.376180703,18.623990212,6.4,,
T,2022-04-22 10:16:39,54.376258487,18.624010496,6.6,,
T,2022-04-22 10:16:44,54.376529809,18.623890216,8.2,,
T,2022-04-22 10:16:51,54.376908671,18.623738838,11.0,,
T,2022-04-22 10:16:52,54.376966842,18.623719560,11.0,,
T,2022-04-22 10:16:56,54.377186364,18.623643788,11.0,,
T,2022-04-22 10:16:58,54.377307063,18.623600118,11.2,,
T,2022-04-22 10:17:02,54.377557682,18.623504061,11.6,,
T,2022-04-22 10:17:03,54.377623312,18.623477658,11.6,,
T,2022-04-22 10:17:07,54.377850210,18.623395013,11.6,,
T,2022-04-22 10:17:09,54.377974682,18.623355953,11.2,,
T,2022-04-22 10:17:12,54.378141649,18.623299375,10.2,,
T,2022-04-22 10:17:15,54.378318926,18.623248916,9.4,,
T,2022-04-22 10:17:21,54.378698459,18.623128217,7.8,,
