type,time,latitude,longitude,altitude (m),name,desc
T,2019-07-25 05:01:05,49.254282480,20.102176471,995.8,Bukowina Tatrzańska Spacerowanie,
T,2019-07-25 05:01:10,49.254135462,20.102399848,994.0,,
T,2019-07-25 05:01:15,49.254064802,20.102401106,993.8,,
T,2019-07-25 05:01:17,49.254043428,20.102399429,993.8,,
T,2019-07-25 05:01:27,49.253919544,20.102306642,994.6,,
T,2019-07-25 05:01:39,49.253773028,20.102173286,995.4,,
T,2019-07-25 05:01:53,49.253612347,20.102020232,995.6,,
T,2019-07-25 05:01:57,49.253567923,20.101967677,995.6,,
T,2019-07-25 05:02:00,49.253535150,20.101933395,995.6,,
T,2019-07-25 05:02:01,49.253524421,20.101920236,995.6,,
T,2019-07-25 05:02:07,49.253449235,20.101863490,995.2,,
T,2019-07-25 05:02:15,49.253358291,20.101784533,995.2,,
T,2019-07-25 05:02:17,49.253332140,20.101764584,995.2,,
T,2019-07-25 05:02:18,49.253317388,20.101755615,995.2,,
T,2019-07-25 05:02:22,49.253277658,20.101734996,995.2,,
T,2019-07-25 05:02:23,49.253266845,20.101728793,995.2,,
T,2019-07-25 05:02:30,49.253178919,20.101658637,995.0,,
T,2019-07-25 05:02:41,49.253035504,20.101516899,995.2,,
T,2019-07-25 05:02:46,49.252968784,20.101450263,995.8,,
T,2019-07-25 05:02:49,49.252933916,20.101402570,996.6,,
T,2019-07-25 05:02:52,49.252894269,20.101360576,997.2,,
T,2019-07-25 05:02:58,49.252808103,20.101298131,998.0,,
T,2019-07-25 05:03:04,49.252730990,20.101226047,999.0,,
T,2019-07-25 05:03:05,49.252718668,20.101216156,999.2,,
T,2019-07-25 05:03:07,49.252695199,20.101195956,999.4,,
T,2019-07-25 05:03:09,49.252671311,20.101173408,999.8,,
T,2019-07-25 05:03:12,49.252634682,20.101141557,1000.4,,
T,2019-07-25 05:03:13,49.252622947,20.101129403,1000.6,,
T,2019-07-25 05:03:20,49.252533345,20.101050865,1002.0,,
T,2019-07-25 05:03:29,49.252395714,20.100964531,1003.2,,
T,2019-07-25 05:03:36,49.252300831,20.100903846,1003.0,,
T,2019-07-25 05:03:38,49.252270237,20.100888759,1002.8,,
T,2019-07-25 05:03:40,49.252232350,20.100859087,1002.8,,
T,2019-07-25 05:03:51,49.252101760,20.100747021,1003.0,,
T,2019-07-25 05:04:02,49.251961112,20.100631434,1002.6,,
T,2019-07-25 05:04:09,49.251885256,20.100547029,1002.6,,
T,2019-07-25 05:04:19,49.251741841,20.100439657,1003.6,,
T,2019-07-25 05:04:28,49.251608737,20.100318873,1004.4,,
T,2019-07-25 05:04:33,49.251535060,20.100268750,1004.2,,
T,2019-07-25 05:04:35,49.251505304,20.100236144,1004.2,,
T,2019-07-25 05:04:40,49.251438584,20.100198174,1004.0,,
T,2019-07-25 05:04:41,49.251430621,20.100204712,1003.8,,
T,2019-07-25 05:04:45,49.251384437,20.100151487,1003.8,,
T,2019-07-25 05:04:50,49.251315454,20.100084767,1003.8,,
T,2019-07-25 05:04:52,49.251286620,20.100059202,1003.6,,
T,2019-07-25 05:04:53,49.251276813,20.100053921,1003.4,,
T,2019-07-25 05:05:00,49.251172123,20.099991225,1002.2,,
T,2019-07-25 05:05:07,49.251087131,20.099944789,1001.2,,
T,2019-07-25 05:05:11,49.251046395,20.099891815,1001.0,,
T,2019-07-25 05:05:14,49.251015047,20.099857617,1001.0,,
T,2019-07-25 05:05:18,49.250978250,20.099815456,1000.8,,
T,2019-07-25 05:05:19,49.250969533,20.099803386,1000.8,,
T,2019-07-25 05:05:30,49.250866938,20.099661816,1001.0,,
T,2019-07-25 05:05:39,49.250773815,20.099478671,1002.0,,
T,2019-07-25 05:05:43,49.250764176,20.099400636,1003.0,,
T,2019-07-25 05:05:47,49.250752358,20.099295359,1004.4,,
T,2019-07-25 05:05:52,49.250723189,20.099152196,1006.2,,
